,agency,amended_notice,amended_notice_date,comment_due_review_date,comment_letter_date,comment_letters,comment_letters_titles,contact_name,contact_phone,date_uploaded,document_type,eis_number,federal_register_date,rating,report_files,report_files_titles,report_link,state,supplemental_info,title,website
547,NASA,,,08/12/2013,08/12/2013,../(PDFView)/20130204/$file/20130204.PDF?OpenElement,EPA Comment Letter (PDF),Joshua A. Bundick,757-824-2319,07/12/2013,Second Final EIS (Tiering),20130204,07/12/2013,,../(EISDocs)/20130204/$file/NASA SRP at PFRR FEIS Volume I.pdf?OpenElement||../(EISDocs)/20130204/$file/NASA SRP at PFRR FEIS Volume II.pdf?OpenElement,EIS Document: NASA SRP at PFRR FEIS Volume I.pdf||EIS Document: NASA SRP at PFRR FEIS Volume II.pdf,07/12/2013,AK, ,Sounding Rockets Program at Poker Flat Research Range,
548,USACE,,,08/12/2013,08/09/2013,../(PDFView)/20130206/$file/20130206.PDF?OpenElement,EPA Comment Letter (PDF),John Fellows,813-769-7070,07/12/2013,Revised Final EIS,20130206,07/12/2013,,../(EISDocs)/20130206/$file/20130703 Addendum to the Final Areawide Environmental Impact Statement on Phosphate Mining in Central Florida Phosphate District.pdf?OpenElement||../(EISDocs)/20130206/$file/_ExecutiveSummary.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter01_ProjectPurposeandNeed.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter02_Alternatives.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter03_AffectedEnvironment.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter04_EnvironmentalConsequences.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter05_Mitigation.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter06_CompliancewithEnvironmentalRequirements.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter07_References.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter08_ListofPreparers.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter10_Glossary.pdf?OpenElement||../(EISDocs)/20130206/$file/Chapter11_Index.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixA_PublicCommentsonDraftAEIS.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixB_OffsiteScreeningAlternatives.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixC_AerialPhotographsofAlternatives.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixD_SurfaceWaterQualityEvaluations.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixE_EcologicalAnalysisMethods.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixF_GroundwaterImpactAnalysis.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixG_SurfaceWaterImpactAnalylsis.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixH_EconomicAnalysis.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixI_ExampleMitigationConditions.pdf?OpenElement||../(EISDocs)/20130206/$file/AppendixJ_ImpactEvaluationMethods.pdf?OpenElement||../(EISDocs)/20130206/$file/_CoverSheet-FrontMatter.pdf?OpenElement||../(EISDocs)/20130206/$file/ATT3SUF9?OpenElement,EIS Document: 20130703 Addendum to the Final Areawide Environmental Impact Statement on Phosphate Mining in Central Florida Phosphate District.pdf||EIS Document: _ExecutiveSummary.pdf||EIS Document: Chapter01_ProjectPurposeandNeed.pdf||EIS Document: Chapter02_Alternatives.pdf||EIS Document: Chapter03_AffectedEnvironment.pdf||EIS Document: Chapter04_EnvironmentalConsequences.pdf||EIS Document: Chapter05_Mitigation.pdf||EIS Document: Chapter06_CompliancewithEnvironmentalRequirements.pdf||EIS Document: Chapter07_References.pdf||EIS Document: Chapter08_ListofPreparers.pdf||EIS Document: Chapter10_Glossary.pdf||EIS Document: Chapter11_Index.pdf||EIS Document: AppendixA_PublicCommentsonDraftAEIS.pdf||EIS Document: AppendixB_OffsiteScreeningAlternatives.pdf||EIS Document: AppendixC_AerialPhotographsofAlternatives.pdf||EIS Document: AppendixD_SurfaceWaterQualityEvaluations.pdf||EIS Document: AppendixE_EcologicalAnalysisMethods.pdf||EIS Document: AppendixF_GroundwaterImpactAnalysis.pdf||EIS Document: AppendixG_SurfaceWaterImpactAnalylsis.pdf||EIS Document: AppendixH_EconomicAnalysis.pdf||EIS Document: AppendixI_ExampleMitigationConditions.pdf||EIS Document: AppendixJ_ImpactEvaluationMethods.pdf||EIS Document: _CoverSheet-FrontMatter.pdf||EIS Document: ATT3SUF9,07/12/2013,FL, ,Addendum to the Final Areawide EIS on Phosphate Mining in the Central Florida Phosphate District,
549,USFS,,,08/12/2013,08/12/2013,../(PDFView)/20130201/$file/20130201.PDF?OpenElement,EPA Comment Letter (PDF),Frank Roberts,907-828-3250,07/12/2013,Final EIS,20130201,07/12/2013,,../(EISDocs)/20130201/$file/part_2_RODAppendix1_unit_cards.pdf?OpenElement||../(EISDocs)/20130201/$file/ROD.pdf?OpenElement||../(EISDocs)/20130201/$file/ROD_Appendix2_Road_Cards1.pdf?OpenElement||../(EISDocs)/20130201/$file/ROD_Appendix2_Road_Cards2.pdf?OpenElement||../(EISDocs)/20130201/$file/ROD_Appendix2_Road_Cards3.pdf?OpenElement||../(EISDocs)/20130201/$file/ROD_Appendix3_Nonsig_Amendment.pdf?OpenElement||../(EISDocs)/20130201/$file/ROD_Fsize.pdf?OpenElement||../(EISDocs)/20130201/$file/Alt5_Fsize.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I Cover_Summary_TOC.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I_Chapter_1.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I_Chapter_2.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I_Chapter_3_Part_1_Issues_1_and_2.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I_Chapter_3_Part_2_Issues_3_and_4.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I_Chapter_3_Part_3_Other_Resources.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol I_Chapter_3_Part_4_Other_Resources_cont.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol II_Appendix_A.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol II_Appendix_B.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol II_Appendix_C.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol II_Appendix_D.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_FEIS_Vol II_Chapter_4.pdf?OpenElement||../(EISDocs)/20130201/$file/Alt1_Fsize.pdf?OpenElement||../(EISDocs)/20130201/$file/Alt2_Fsize.pdf?OpenElement||../(EISDocs)/20130201/$file/Alt3_Fsize.pdf?OpenElement||../(EISDocs)/20130201/$file/Alt4_Fsize.pdf?OpenElement||../(EISDocs)/20130201/$file/ATTHTT64?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_I.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_II.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_III_Unit_Cards.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_IV_Unit_Cards.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_V_Unit_Cards.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_VI_Road_Cards.pdf?OpenElement||../(EISDocs)/20130201/$file/Big_Thorne_DEIS_Volume_VII_Alt_Maps.pdf?OpenElement||../(EISDocs)/20130201/$file/metadata_content_FEIS_ROD.pdf?OpenElement||../(EISDocs)/20130201/$file/part_1_RODAppendix1_unit_cards.pdf?OpenElement||../(EISDocs)/20130201/$file/ATT1A1ZI?OpenElement||../(EISDocs)/20130201/$file/ATT9NWPH?OpenElement||../(EISDocs)/20130201/$file/ATTU5UUN?OpenElement||../(EISDocs)/20130201/$file/ATT2ZANR?OpenElement||../(EISDocs)/20130201/$file/ATTFAWRI?OpenElement||../(EISDocs)/20130201/$file/ATT9V449?OpenElement||../(EISDocs)/20130201/$file/ATT0Y2FZ?OpenElement,EIS Document: part_2_RODAppendix1_unit_cards.pdf||EIS Document: ROD.pdf||EIS Document: ROD_Appendix2_Road_Cards1.pdf||EIS Document: ROD_Appendix2_Road_Cards2.pdf||EIS Document: ROD_Appendix2_Road_Cards3.pdf||EIS Document: ROD_Appendix3_Nonsig_Amendment.pdf||EIS Document: ROD_Fsize.pdf||EIS Document: Alt5_Fsize.pdf||EIS Document: Big_Thorne_FEIS_Vol I Cover_Summary_TOC.pdf||EIS Document: Big_Thorne_FEIS_Vol I_Chapter_1.pdf||EIS Document: Big_Thorne_FEIS_Vol I_Chapter_2.pdf||EIS Document: Big_Thorne_FEIS_Vol I_Chapter_3_Part_1_Issues_1_and_2.pdf||EIS Document: Big_Thorne_FEIS_Vol I_Chapter_3_Part_2_Issues_3_and_4.pdf||EIS Document: Big_Thorne_FEIS_Vol I_Chapter_3_Part_3_Other_Resources.pdf||EIS Document: Big_Thorne_FEIS_Vol I_Chapter_3_Part_4_Other_Resources_cont.pdf||EIS Document: Big_Thorne_FEIS_Vol II_Appendix_A.pdf||EIS Document: Big_Thorne_FEIS_Vol II_Appendix_B.pdf||EIS Document: Big_Thorne_FEIS_Vol II_Appendix_C.pdf||EIS Document: Big_Thorne_FEIS_Vol II_Appendix_D.pdf||EIS Document: Big_Thorne_FEIS_Vol II_Chapter_4.pdf||EIS Document: Alt1_Fsize.pdf||EIS Document: Alt2_Fsize.pdf||EIS Document: Alt3_Fsize.pdf||EIS Document: Alt4_Fsize.pdf||EIS Document: ATTHTT64||EIS Document: Big_Thorne_DEIS_Volume_I.pdf||EIS Document: Big_Thorne_DEIS_Volume_II.pdf||EIS Document: Big_Thorne_DEIS_Volume_III_Unit_Cards.pdf||EIS Document: Big_Thorne_DEIS_Volume_IV_Unit_Cards.pdf||EIS Document: Big_Thorne_DEIS_Volume_V_Unit_Cards.pdf||EIS Document: Big_Thorne_DEIS_Volume_VI_Road_Cards.pdf||EIS Document: Big_Thorne_DEIS_Volume_VII_Alt_Maps.pdf||EIS Document: metadata_content_FEIS_ROD.pdf||EIS Document: part_1_RODAppendix1_unit_cards.pdf||EIS Document: ATT1A1ZI||EIS Document: ATT9NWPH||EIS Document: ATTU5UUN||EIS Document: ATT2ZANR||EIS Document: ATTFAWRI||EIS Document: ATT9V449||EIS Document: ATT0Y2FZ,07/12/2013,AK, ,Big Thorne Project,
550,USFS,,,08/12/2013,07/11/2013,,,Diana Erickson,530-621-5214,07/12/2013,Final Supplement,20130203,07/12/2013,,../(EISDocs)/20130203/$file/Final_TMSEIS_for_release.pdf?OpenElement||../(EISDocs)/20130203/$file/Draft_TMSEIS_021315_.pdf?OpenElement,EIS Document: Final_TMSEIS_for_release.pdf||EIS Document: Draft_TMSEIS_021315_.pdf,07/12/2013,CA, ,Eldorado National Forest Travel Management ,
551,BLM,,,08/19/2013,08/19/2013,../(PDFView)/20130198/$file/20130198.PDF?OpenElement,EPA Comment Letter (PDF),Mark Mackiewicz,435-636-3616,07/05/2013,Draft Supplement,20130198,07/05/2013,LO,../(EISDocs)/20130198/$file/Draft Supplemental Environmental Impact Statemet Ruby Pipeline Project.pdf?OpenElement,EIS Document: Draft Supplemental Environmental Impact Statemet Ruby Pipeline Project.pdf,07/05/2013,NV, ,Ruby Pipeline Project,
552,BLM,,,08/05/2013,08/01/2013,../(PDFView)/20130190/$file/20130190.PDF?OpenElement,EPA Comment Letter (PDF),Janice Stadelman,775-753-0346,07/05/2013,Final EIS,20130190,07/05/2013,,../(EISDocs)/20130190/$file/FEIS_Hollister_Underground_Mine_Project.pdf?OpenElement,EIS Document: FEIS_Hollister_Underground_Mine_Project.pdf,07/05/2013,NV, ,Hollister Underground Mine Project,
553,BLM,,,06/26/2013,08/19/2013,,,Mark Mackiewicz,435-63-3616,07/05/2013,Final EIS,20130188,07/05/2013,,,,07/05/2013,00,"The U.S. Department of the Interior's Bureau of Land Management (BLM)  has 
adopted  U.S. Federal Energy  Regulatory Commission's FEIS # 20100001, filed 
01/07/2010 and appeared in the FR 01/15/2010.  The BLM was a cooperating agency 
for the above project.  Recirculation of the FEIS is not necessary under 
Section 1506.3(c) of the CEQ Regulations.","ADOPTION -  Ruby Pipeline Project, Proposed Natural Gas Pipeline Facilities",
554,BR,,,09/30/2013,09/30/2013,../(PDFView)/20130196/$file/20130196.PDF?OpenElement,EPA Comment Letter (PDF),Katrina Chow,916-978-5067,07/05/2013,Draft EIS,20130196,07/05/2013,EC2,../(EISDocs)/20130196/$file/00_SLWRI Draft EIS - Part 1 - Summary and Chapters 1 to 13.pdf?OpenElement||../(EISDocs)/20130196/$file/00_SLWRI Draft EIS - Part 2 - Chapters 14 to 31.pdf?OpenElement||../(EISDocs)/20130196/$file/01_SLWRI Glossary Appendix.pdf?OpenElement||../(EISDocs)/20130196/$file/02_SLWRI Plan Formulation Appendix.pdf?OpenElement||../(EISDocs)/20130196/$file/03_SLWRI Engineering Summary Appendix.pdf?OpenElement||../(EISDocs)/20130196/$file/04_SLWRI Modeling_Appendix.pdf?OpenElement||../(EISDocs)/20130196/$file/05_SLWRI Modeling Appendix - Attachments 1 to 17.pdf?OpenElement||../(EISDocs)/20130196/$file/06_Modeling Appendix - Attachment 18 - Part 1.pdf?OpenElement||../(EISDocs)/20130196/$file/07_Modeling Appendix - Attachment 18 - Part 2.pdf?OpenElement||../(EISDocs)/20130196/$file/08_SLWRI Modeling Appendix - Attachment 19.pdf?OpenElement||../(EISDocs)/20130196/$file/09_SLWRI Real Estate Appendix.pdf?OpenElement||../(EISDocs)/20130196/$file/10_SLWRI Climate Change Modeling Appendix.pdf?OpenElement||../(EISDocs)/20130196/$file/11_SLWRI Physical Resources Appendix - Geologic Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/12_SLWRI Physical Resources Appendix - Air Quality Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/13_SLWRI Physical Resources Appendix - Hydrology and Hydraulics Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/14_SLWRI Physical Resources Appendix - Water Quality Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/15_SLWRI Biological Resources Appendix - Fisheries Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/16_SLWRI Biological Resources Appendix - Botanical Resources Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/17_SLWRI Biological Resources Appendix - Wildlife Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/18_SLWRI Socioeconomics Appendix - Socioeconomics Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/19_SLWRI Socioeconomics Appendix - Power and Energy Technical Report.pdf?OpenElement||../(EISDocs)/20130196/$file/20_SLWRI USFWS Coordination Act Report Appendix.pdf?OpenElement,EIS Document: 00_SLWRI Draft EIS - Part 1 - Summary and Chapters 1 to 13.pdf||EIS Document: 00_SLWRI Draft EIS - Part 2 - Chapters 14 to 31.pdf||EIS Document: 01_SLWRI Glossary Appendix.pdf||EIS Document: 02_SLWRI Plan Formulation Appendix.pdf||EIS Document: 03_SLWRI Engineering Summary Appendix.pdf||EIS Document: 04_SLWRI Modeling_Appendix.pdf||EIS Document: 05_SLWRI Modeling Appendix - Attachments 1 to 17.pdf||EIS Document: 06_Modeling Appendix - Attachment 18 - Part 1.pdf||EIS Document: 07_Modeling Appendix - Attachment 18 - Part 2.pdf||EIS Document: 08_SLWRI Modeling Appendix - Attachment 19.pdf||EIS Document: 09_SLWRI Real Estate Appendix.pdf||EIS Document: 10_SLWRI Climate Change Modeling Appendix.pdf||EIS Document: 11_SLWRI Physical Resources Appendix - Geologic Technical Report.pdf||EIS Document: 12_SLWRI Physical Resources Appendix - Air Quality Technical Report.pdf||EIS Document: 13_SLWRI Physical Resources Appendix - Hydrology and Hydraulics Technical Report.pdf||EIS Document: 14_SLWRI Physical Resources Appendix - Water Quality Technical Report.pdf||EIS Document: 15_SLWRI Biological Resources Appendix - Fisheries Technical Report.pdf||EIS Document: 16_SLWRI Biological Resources Appendix - Botanical Resources Technical Report.pdf||EIS Document: 17_SLWRI Biological Resources Appendix - Wildlife Technical Report.pdf||EIS Document: 18_SLWRI Socioeconomics Appendix - Socioeconomics Technical Report.pdf||EIS Document: 19_SLWRI Socioeconomics Appendix - Power and Energy Technical Report.pdf||EIS Document: 20_SLWRI USFWS Coordination Act Report Appendix.pdf,07/05/2013,CA, ,Shasta Lake Water Resources Investigation,
555,USACE,,,08/05/2013,08/05/2013,../(PDFView)/20130197/$file/20130197.PDF?OpenElement,EPA Comment Letter (PDF),Alisa Zarbo,561-472-3506,07/05/2013,Final EIS,20130197,07/05/2013,,../(EISDocs)/20130197/$file/Everglades Agricultural Area A-1 Shallow FEB Final EIS.pdf?OpenElement||../(EISDocs)/20130197/$file/Everglades Agricultural Area A-1 Shallow FEB Final EIS Appendix.pdf?OpenElement,EIS Document: Everglades Agricultural Area A-1 Shallow FEB Final EIS.pdf||EIS Document: Everglades Agricultural Area A-1 Shallow FEB Final EIS Appendix.pdf,07/05/2013,FL, ,Everglades Agricultural Area A-1 Shallow Flow Equalization Basin,
556,USCG,,,08/19/2013,08/19/2013,../(PDFView)/20130195/$file/20130195.PDF?OpenElement,EPA Comment Letter (PDF),Randall Overton,305-415-6736,07/05/2013,Draft EIS,20130195,07/05/2013,EC2,../(EISDocs)/20130195/$file/Volume_1_Cover.pdf?OpenElement||../(EISDocs)/20130195/$file/Table_of_Contents.pdf?OpenElement||../(EISDocs)/20130195/$file/Executive_Summary.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_1.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_2.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_3.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_4.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_5.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_6.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_7.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_8.pdf?OpenElement||../(EISDocs)/20130195/$file/Chapter_9.pdf?OpenElement||../(EISDocs)/20130195/$file/Volume_2_Cover.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_A.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_A-1.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_A-2.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_A-3.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_A-4.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_B.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_C.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_D.pdf?OpenElement||../(EISDocs)/20130195/$file/Volume_3_Cover.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_E.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_F.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_G.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_H.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_I.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_J.pdf?OpenElement||../(EISDocs)/20130195/$file/Appendix_K.pdf?OpenElement,EIS Document: Volume_1_Cover.pdf||EIS Document: Table_of_Contents.pdf||EIS Document: Executive_Summary.pdf||EIS Document: Chapter_1.pdf||EIS Document: Chapter_2.pdf||EIS Document: Chapter_3.pdf||EIS Document: Chapter_4.pdf||EIS Document: Chapter_5.pdf||EIS Document: Chapter_6.pdf||EIS Document: Chapter_7.pdf||EIS Document: Chapter_8.pdf||EIS Document: Chapter_9.pdf||EIS Document: Volume_2_Cover.pdf||EIS Document: Appendix_A.pdf||EIS Document: Appendix_A-1.pdf||EIS Document: Appendix_A-2.pdf||EIS Document: Appendix_A-3.pdf||EIS Document: Appendix_A-4.pdf||EIS Document: Appendix_B.pdf||EIS Document: Appendix_C.pdf||EIS Document: Appendix_D.pdf||EIS Document: Volume_3_Cover.pdf||EIS Document: Appendix_E.pdf||EIS Document: Appendix_F.pdf||EIS Document: Appendix_G.pdf||EIS Document: Appendix_H.pdf||EIS Document: Appendix_I.pdf||EIS Document: Appendix_J.pdf||EIS Document: Appendix_K.pdf,07/05/2013,FL, ,Proposed New Bridge across the Manatee River,
557,USFS,,,08/19/2013,08/19/2013,../(PDFView)/20130194/$file/20130194.PDF?OpenElement,EPA Comment Letter (PDF),Jeff Marszal,541-416-6436,07/05/2013,Draft EIS,20130194,07/05/2013,LO,,,07/05/2013,OR, ,Fox Canyon Cluster Allotment Management Plans,
558,WAPA,,,07/29/2013,08/08/2013,../(PDFView)/20130186/$file/20130186.PDF?OpenElement,EPA Comment Letter (PDF),Jim Hartman ,720-962-7255,07/05/2013,Final EIS,20130186,07/05/2013,,,,07/05/2013,CO, ,Granby Pumping Plant Windy Gap Substation Transmission Line Rebuild ,
559,BLM,,,09/25/2013,09/30/2013,../(PDFView)/20130180/$file/20130180.PDF?OpenElement,EPA Comment Letter (PDF),Sharon Knowlton,307-775-6124,06/28/2013,Draft EIS,20130180,06/28/2013,EC1,../(EISDocs)/20130180/$file/00_Volume_I_Cover_through_TOC.pdf?OpenElement||../(EISDocs)/20130180/$file/01_Chapter_1_Introduction.pdf?OpenElement||../(EISDocs)/20130180/$file/02_Chapter_2_Project_Description.pdf?OpenElement||../(EISDocs)/20130180/$file/03_3-0_Intro.pdf?OpenElement||../(EISDocs)/20130180/$file/04_3-1_Climate_and_Air.pdf?OpenElement||../(EISDocs)/20130180/$file/05_3-2_Geology.pdf?OpenElement||../(EISDocs)/20130180/$file/06_3-3_Soils.pdf?OpenElement||../(EISDocs)/20130180/$file/07_3-4_Water.pdf?OpenElement||../(EISDocs)/20130180/$file/08_Volume II_Cover_through_TOC.pdf?OpenElement||../(EISDocs)/20130180/$file/09_3-5_Vegetation.pdf?OpenElement||../(EISDocs)/20130180/$file/10_3-6_Special_Status_Plants.pdf?OpenElement||../(EISDocs)/20130180/$file/11_3-7_Wildlife.pdf?OpenElement||../(EISDocs)/20130180/$file/12_3-8_Special_Status_Wildlife.pdf?OpenElement||../(EISDocs)/20130180/$file/13_3-9_Aquatic.pdf?OpenElement||../(EISDocs)/20130180/$file/14_3-10_Special_Status_Aquatic.pdf?OpenElement||../(EISDocs)/20130180/$file/15_3-11_Cultural.pdf?OpenElement||../(EISDocs)/20130180/$file/16_3-12_Visual.pdf?OpenElement||../(EISDocs)/20130180/$file/17_Volume_III_Cover_through_TOC.pdf?OpenElement||../(EISDocs)/20130180/$file/18_3-13_Recreation.pdf?OpenElement||../(EISDocs)/20130180/$file/19_3-14_Land_Use.pdf?OpenElement||../(EISDocs)/20130180/$file/20_3-15_Special_Designations.pdf?OpenElement||../(EISDocs)/20130180/$file/21_3-16_Transportation.pdf?OpenElement||../(EISDocs)/20130180/$file/22_3-17_Social_and_Econ.pdf?OpenElement||../(EISDocs)/20130180/$file/23_3-18_Health_and_Safety.pdf?OpenElement||../(EISDocs)/20130180/$file/24_3-19_Wild_Horse.pdf?OpenElement||../(EISDocs)/20130180/$file/25_3-20_LWC.pdf?OpenElement||../(EISDocs)/20130180/$file/26_Chapter_4.pdf?OpenElement||../(EISDocs)/20130180/$file/27_Chapter_5.pdf?OpenElement||../(EISDocs)/20130180/$file/28_Chapter_6.pdf?OpenElement||../(EISDocs)/20130180/$file/29_Glossary_References_Index.pdf?OpenElement||../(EISDocs)/20130180/$file/30_Appendix_A_Major_Permits.pdf?OpenElement||../(EISDocs)/20130180/$file/31_Appendix_B_Corridor_Screening_Report.pdf?OpenElement||../(EISDocs)/20130180/$file/32_Appendix C_BMPs and Stips.pdf?OpenElement||../(EISDocs)/20130180/$file/33_Appendix_D_PDTR.pdf?OpenElement||../(EISDocs)/20130180/$file/34_Appendix_E_Air_Quality.pdf?OpenElement||../(EISDocs)/20130180/$file/35_Appendix_F_Physical_Resources.pdf?OpenElement||../(EISDocs)/20130180/$file/36_Appendix_G_Biological_Resources.pdf?OpenElement||../(EISDocs)/20130180/$file/37_Appendix_H_IRA_and_URUD_Attributes.pdf?OpenElement||../(EISDocs)/20130180/$file/38_Appendix_I_a_Visual_Text_Tables_Figures.pdf?OpenElement||../(EISDocs)/20130180/$file/39_Appendix_I_b_Visual_KOP-Figures_ANP_CC_DNM_E_F_GJ_LMNRA_LS_LV_M_P.pdf?OpenElement||../(EISDocs)/20130180/$file/40_Appendix_I_c_Visual_KOP-Figures_R_Rich_SG_SL_V_WR.pdf?OpenElement,EIS Document: 00_Volume_I_Cover_through_TOC.pdf||EIS Document: 01_Chapter_1_Introduction.pdf||EIS Document: 02_Chapter_2_Project_Description.pdf||EIS Document: 03_3-0_Intro.pdf||EIS Document: 04_3-1_Climate_and_Air.pdf||EIS Document: 05_3-2_Geology.pdf||EIS Document: 06_3-3_Soils.pdf||EIS Document: 07_3-4_Water.pdf||EIS Document: 08_Volume II_Cover_through_TOC.pdf||EIS Document: 09_3-5_Vegetation.pdf||EIS Document: 10_3-6_Special_Status_Plants.pdf||EIS Document: 11_3-7_Wildlife.pdf||EIS Document: 12_3-8_Special_Status_Wildlife.pdf||EIS Document: 13_3-9_Aquatic.pdf||EIS Document: 14_3-10_Special_Status_Aquatic.pdf||EIS Document: 15_3-11_Cultural.pdf||EIS Document: 16_3-12_Visual.pdf||EIS Document: 17_Volume_III_Cover_through_TOC.pdf||EIS Document: 18_3-13_Recreation.pdf||EIS Document: 19_3-14_Land_Use.pdf||EIS Document: 20_3-15_Special_Designations.pdf||EIS Document: 21_3-16_Transportation.pdf||EIS Document: 22_3-17_Social_and_Econ.pdf||EIS Document: 23_3-18_Health_and_Safety.pdf||EIS Document: 24_3-19_Wild_Horse.pdf||EIS Document: 25_3-20_LWC.pdf||EIS Document: 26_Chapter_4.pdf||EIS Document: 27_Chapter_5.pdf||EIS Document: 28_Chapter_6.pdf||EIS Document: 29_Glossary_References_Index.pdf||EIS Document: 30_Appendix_A_Major_Permits.pdf||EIS Document: 31_Appendix_B_Corridor_Screening_Report.pdf||EIS Document: 32_Appendix C_BMPs and Stips.pdf||EIS Document: 33_Appendix_D_PDTR.pdf||EIS Document: 34_Appendix_E_Air_Quality.pdf||EIS Document: 35_Appendix_F_Physical_Resources.pdf||EIS Document: 36_Appendix_G_Biological_Resources.pdf||EIS Document: 37_Appendix_H_IRA_and_URUD_Attributes.pdf||EIS Document: 38_Appendix_I_a_Visual_Text_Tables_Figures.pdf||EIS Document: 39_Appendix_I_b_Visual_KOP-Figures_ANP_CC_DNM_E_F_GJ_LMNRA_LS_LV_M_P.pdf||EIS Document: 40_Appendix_I_c_Visual_KOP-Figures_R_Rich_SG_SL_V_WR.pdf,06/28/2013,00,"The U.S. Department of the Interior's Bureau of Land Management and the U.S. 
Department of Energy's Western Area Power Administration are joint lead 
agencies for the above project.",TransWest Express Transmission Project,
